date,close,source
2012-10-14,11.6506,coinmetrics
2012-10-15,11.9083,coinmetrics
2012-10-16,11.8480,coinmetrics
2012-10-17,11.9194,coinmetrics
2012-10-18,11.9259,coinmetrics
2012-10-19,11.7575,coinmetrics
2012-10-20,11.6944,coinmetrics
2012-10-21,11.6574,coinmetrics
2012-10-22,11.7411,coinmetrics
2012-10-23,11.7078,coinmetrics
2012-10-24,11.6344,coinmetrics
2012-10-25,10.7536,coinmetrics
2012-10-26,10.1306,coinmetrics
2012-10-27,10.4582,coinmetrics
2012-10-28,10.7100,coinmetrics
2012-10-29,10.6307,coinmetrics
2012-10-30,10.8593,coinmetrics
2012-10-31,11.1461,coinmetrics
2012-11-01,10.6135,coinmetrics
2012-11-02,10.5305,coinmetrics
2012-11-03,10.6507,coinmetrics
2012-11-04,10.7969,coinmetrics
2012-11-05,10.7408,coinmetrics
2012-11-06,10.8682,coinmetrics
2012-11-07,10.9541,coinmetrics
2012-11-08,10.8927,coinmetrics
2012-11-09,10.8159,coinmetrics
2012-11-10,10.8633,coinmetrics
2012-11-11,10.8418,coinmetrics
2012-11-12,11.0313,coinmetrics
2012-11-13,10.9980,coinmetrics
2012-11-14,10.9590,coinmetrics
2012-11-15,11.1751,coinmetrics
2012-11-16,11.7050,coinmetrics
